Age,Gender,Profession,Marital_status,Education,No_of_Dependents,Personal_loan,House_loan,Partner_working,Salary,Partner_salary,Total_salary
33,Male,Business,Married,Graduate,2.0,No,No,Yes,50392,75606.0,125998.0
32,Female,Salaried,Married,Graduate,3.0,Yes,No,No,30887,0.0,30887.0
59,Female,Business,Married,Graduate,4.0,No,Yes,Yes,35361,40195.0,75556.0
55,Male,Salaried,Married,Graduate,4.0,No,Yes,Yes,46473,83234.0,129707.0
40,Male,Business,Single,Graduate,1.0,Yes,Yes,Yes,83869,42516.0,126385.0
25,Female,Salaried,Single,Post Graduate,4.0,No,No,No,49959,0.0,49959.0
37,Male,Business,Married,Graduate,2.0,No,No,Yes,92849,38552.0,131401.0
38,Female,Salaried,Married,Post Graduate,0.0,No,No,No,115488,0.0,115488.0
23,Male,Business,Single,Graduate,2.0,Yes,No,Yes,80083,41854.0,121937.0
26,Female,Business,Married,Post Graduate,1.0,No,No,No,83051,0.0,83051.0
22,Male,Salaried,Married,Graduate,4.0,No,No,No,43582,0.0,43582.0
32,Female,Business,Married,Graduate,1.0,Yes,Yes,No,71171,0.0,71171.0
23,Male,Salaried,Married,Graduate,1.0,Yes,No,Yes,64949,32258.0,97207.0
55,Male,Salaried,Married,Post Graduate,0.0,No,No,No,82753,0.0,82753.0
42,Male,Salaried,Married,Graduate,1.0,Yes,No,No,56758,0.0,56758.0
32,Female,Salaried,Single,Graduate,2.0,No,Yes,Yes,62412,94577.0,156989.0
53,Male,Salaried,Single,Graduate,0.0,No,Yes,Yes,88270,51066.0,139336.0
41,Male,Business,Single,Post Graduate,0.0,No,No,No,62672,0.0,62672.0
52,Male,Salaried,Single,Graduate,3.0,No,No,No,45384,0.0,45384.0
27,Female,Business,Single,Post Graduate,4.0,No,No,Yes,46950,74255.0,121205.0
48,Female,Salaried,Married,Graduate,3.0,Yes,No,No,42131,0.0,42131.0
57,Female,Salaried,Married,Graduate,2.0,No,No,Yes,77911,56856.0,134767.0
25,Female,Salaried,Married,Graduate,3.0,No,No,Yes,35894,65169.0,101063.0
47,Female,Salaried,Married,Post Graduate,0.0,No,No,No,38265,0.0,38265.0
44,Female,Salaried,Married,Graduate,4.0,No,No,No,100621,0.0,100621.0
48,Male,Business,Single,Graduate,1.0,Yes,No,Yes,102213,66885.0,169098.0
44,Female,Salaried,Married,Graduate,1.0,No,No,No,82580,0.0,82580.0
23,Female,Salaried,Single,Graduate,3.0,No,No,No,49427,0.0,49427.0
38,Male,Salaried,Married,Graduate,0.0,No,No,No,88327,0.0,88327.0
26,Male,Salaried,Married,Graduate,0.0,No,No,Yes,80027,43213.0,123240.0
